license_type_code,field_label,field_type,field_options,section_name,field_order,is_required
SP-2,No.of Products as per License and other details,text,,(5) Product Details,28,0
SP-2,Stage Wise Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,29,0
SP-2,Continuous Production or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,30,0
SP-2,Formulae and Flow Chart of each product approved or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,31,0
SP-2,Product wise Issue Slip with due signatures prepared or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,32,0
SP-2,Whether Quota and Limit for each product in last 3 Years adhered or not?,dropdown,"[""Yes"",""No""]",(5) Product Details,33,0
SP-2,Whether any other product produced other than the approved ones?,dropdown,"[""Yes"",""No""]",(5) Product Details,34,0
SP-2,Whether Register is maintained in the due Format or not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,35,0
SP-2,Stock Details as per register,text,,(6) Upkeep of Register and Stock Details,36,0
SP-2,Stock Details (Actual Level/No. of Bags/ CMs/No. of Barrels etc.),text,,(6) Upkeep of Register and Stock Details,37,0
SP-2,Stock Details (actual),text,,(6) Upkeep of Register and Stock Details,38,0
SP-2,Stock recorded as per Weigh Slip or Not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,39,0
SP-2,Excess/Shortage etc. if any,text,,(6) Upkeep of Register and Stock Details,40,0
SP-2,Whether reported by the Licensee or not?,dropdown,"[""Yes"",""No""]",(6) Upkeep of Register and Stock Details,41,0
SP-2,PESO,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,42,0
SP-2,Poison,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,43,0
SP-2,FireNOC,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,44,0
SP-2,GPCB,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,45,0
SP-2,Factory License,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,46,0
SP-2,APP,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,47,0
SP-2,FDCA Approval,dropdown,"[""Yes"",""No"",""Not Applicable""]",(7) Regulatory Permission Details,48,0
SP-2,Director List/Partner List,dropdown,"[""Updated"",""Not Updated"",""Not Applicable""]",(7) Regulatory Permission Details,49,0
SP-2,Challan Required for Purchase or Sale or Not?,dropdown,"[""Yes"",""No""]",(8) Other Details,50,0
SP-2,Stamped Challan used for Purchase of Methanol?,dropdown,"[""Yes"",""No"",""Not Applicable""]",(8) Other Details,51,0
SP-2,Supervision/Escort Required or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,52,0
SP-2,Supervision Charges paid in Advance or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,53,0
SP-2,Difference paid by the Licensee or not?,dropdown,"[""Yes"",""No""]",(8) Other Details,54,0
SP-2,Any other dues to be levied from the Licensees?,text,,(8) Other Details,55,0
SP-2,Is there any Prima Facie short levy of Charges/Fee?,dropdown,"[""Yes"",""No""]",(8) Other Details,56,0
SP-2,Violations found or not?,dropdown,"[""Yes"",""No""]",(9) Details of Violations by the Licensee,57,0
SP-2,If Yes then under Which rules?,text,,(9) Details of Violations by the Licensee,58,0
SP-2,Name of Relevant Authority/rules etc.,text,,(9) Details of Violations by the Licensee,59,0
SP-2,"Other Remarks, if any",textarea,,(9) Details of Violations by the Licensee,60,0
SP-2,Name of other Subordinates present during the inspection,text,,(9) Details of Violations by the Licensee,61,0
SP-2,Violations noted and statement taken of the authorised person,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,62,0
SP-2,Production/Usage/Purchase stopped to prevent further violation,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,63,0
SP-2,Sealing/Confiscation of Prohibited Article Required with Panchnama,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,64,0
SP-2,Licensee given time of fortnight to submit records,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,65,0
SP-2,Violations noted and instructions given for correction,checkbox,"[""Yes""]",(9) Details of Violations by the Licensee,66,0
SP-2,Officer's Signature,text,,(9) Details of Violations by the Licensee,67,0
SP-2,Date,date,,(9) Details of Violations by the Licensee,68,0
